trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
485,False,"{'a': 0.002, 'e': 0.3798419628513787}",20,12,7.363265273357841,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
486,False,"{'a': 0.002, 'e': 0.37908303810339883}",20,0,-22.176473288804477,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
487,False,"{'a': 0.002, 'e': 0.3783256296880768}",25,17,0.8632481665046008,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
488,False,"{'a': 0.002, 'e': 0.37756973457577797}",25,0,-36.082041209762984,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
489,False,"{'a': 0.002, 'e': 0.37681534974292086}",30,7,-19.325977203450893,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 0}",1
490,False,"{'a': 0.002, 'e': 0.37606247217196515}",20,0,-38.02693046868205,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
491,False,"{'a': 0.002, 'e': 0.37531109885139957}",25,10,-18.760765356089333,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
492,False,"{'a': 0.002, 'e': 0.3745612267757298}",25,10,-25.713786921161955,"{0: 9, 1: 4, 2: 2, 3: 0, 4: 0}",1
493,False,"{'a': 0.002, 'e': 0.3738128529454665}",25,0,-89.04836203210957,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
494,False,"{'a': 0.002, 'e': 0.3730659743671134}",25,15,-7.547816244374378,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
495,False,"{'a': 0.002, 'e': 0.3723205880531552}",25,15,9.69486182580011,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
496,False,"{'a': 0.002, 'e': 0.3715766910220457}",30,3,1.137658308422504,"{0: 24, 1: 0, 2: 2, 3: 1, 4: 0}",1
497,False,"{'a': 0.002, 'e': 0.37083428029819565}",25,0,-54.52422601345906,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
498,False,"{'a': 0.002, 'e': 0.37009335291196127}",25,8,-58.02840482517494,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
499,False,"{'a': 0.002, 'e': 0.369353905899632}",25,15,-9.406598707599201,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
500,False,"{'a': 0.002, 'e': 0.3686159363034188}",25,7,-43.81001930263504,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
501,False,"{'a': 0.002, 'e': 0.36787944117144233}",20,1,-12.766732851121862,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
502,False,"{'a': 0.002, 'e': 0.36714441755772104}",20,9,9.707093873350654,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
503,False,"{'a': 0.002, 'e': 0.3664108625221595}",30,0,-70.67198581399278,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",1
504,False,"{'a': 0.002, 'e': 0.36567877313053654}",20,6,-5.660291170857408,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
505,False,"{'a': 0.002, 'e': 0.36494814645449375}",25,17,5.095620249256134,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
506,False,"{'a': 0.002, 'e': 0.3642189795715233}",25,0,-90.40817672981701,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
507,False,"{'a': 0.002, 'e': 0.3634912695649568}",20,4,-71.64162768975838,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 2}",1
508,False,"{'a': 0.002, 'e': 0.36276501352395324}",30,16,-69.41256459057304,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
509,False,"{'a': 0.002, 'e': 0.36204020854348745}",20,6,-20.13430693121991,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
510,False,"{'a': 0.002, 'e': 0.36131685172433853}",30,23,0.7404022673906405,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
511,False,"{'a': 0.002, 'e': 0.3605949401730783}",20,7,21.637142453409833,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
512,False,"{'a': 0.002, 'e': 0.35987447100205955}",20,0,-9.423966776490799,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
513,False,"{'a': 0.002, 'e': 0.3591554413294046}",20,5,12.168949566838648,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
514,False,"{'a': 0.002, 'e': 0.3584378482789939}",25,15,8.551210784632595,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
515,False,"{'a': 0.002, 'e': 0.3577216889804542}",25,8,10.224533346007188,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
516,False,"{'a': 0.002, 'e': 0.3570069605691474}",25,1,-8.787652066974951,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 1}",1
517,False,"{'a': 0.002, 'e': 0.3562936601861588}",20,7,7.690887479576096,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
518,False,"{'a': 0.002, 'e': 0.35558178497828613}",20,0,-37.04776788047309,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
519,False,"{'a': 0.002, 'e': 0.3548713320980274}",25,11,22.14786489267216,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
520,False,"{'a': 0.002, 'e': 0.35416229870357024}",25,17,14.969538343790253,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
